Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
3061.921;45.006;0;25235;601487;0;0
3063.376;45.495;0;25236;601487;0;0
3063.304;46.398;0;25237;601488;0;0
3061.788;47.888;0;25238;601488;0;0
3062.593;49.353;0;25239;601488;0;0
3062.573;50.476;0;25240;601489;0;0
3064.06;51.99;0;25241;601489;0;0
3062.55;53.578;0;25242;601490;0;0
3063.491;53.968;0;25243;601491;0;0
3063.152;57.07;0;25244;601491;0;0
3063.732;58.12;0;25245;601492;0;0
3064.144;60.415;0;25246;601493;0;0
3064.327;60.024;0;25247;601493;0;0
3064.427;62.149;0;25248;601494;0;0
3065.262;63.077;0;25249;601495;0;0
3064.634;63.101;0;25250;601496;0;0
3065.301;63.956;0;25251;601497;0;0
3065.732;64.957;0;25252;601497;0;0
3064.847;66.691;0;25253;601498;0;0
3065.361;66.789;0;25254;601499;0;0
3066.041;67.424;0;25255;601500;0;0
3066.054;67.277;0;25256;601501;0;0
3067.91;67.302;0;25257;601502;0;0
3068.357;67.033;0;25258;601504;0;0
3067.557;67.912;0;25259;601505;0;0
3068.768;67.766;0;25260;601506;0;0
3070.388;68.278;0;25261;601507;0;0
3071.26;69.328;0;25262;601508;0;0
3071.695;68.449;0;25263;601509;0;0
3071.987;69.646;0;25264;601511;0;0
3073.067;68.718;0;25265;601512;0;0
3072.764;70.037;0;25266;601513;0;0
3072.238;69.939;0;25267;601515;0;0
3072.77;70.232;0;25268;601516;0;0
3071.926;69.084;0;25269;601517;0;0
3070.605;68.913;0;25270;601519;0;0
3069.325;67.912;0;25271;601521;0;0
3068.68;66.764;0;25272;601522;0;0
3066.951;66.911;0;25273;601524;0;0
3066.069;67.106;0;25274;601525;0;0
3067.091;69.28;0;25275;601527;0;0
3066.271;72.796;0;25276;601529;0;0
3066.389;77.998;0;25277;601530;0;0
3066.052;85.128;0;25278;601532;0;0
3065.963;92.674;0;25279;601534;0;0
3065.147;98.437;0;25280;601536;0;0
3063.863;98.999;0;25281;601538;0;0
3062.71;98.999;0;25282;601540;0;0
3061.618;98.999;0;25283;601542;0;0
3060.714;100;128;25284;601544;0;0
3060.069;100;128;25285;601546;0;0
3059.795;98.999;0;25286;601548;0;0
3060.069;98.999;0;25287;601550;0;0
3059.919;98.999;0;25288;601552;0;0
3061.765;98.999;0;25289;601554;0;0
3063.483;98.999;0;25290;601556;0;0
3064.253;98.999;0;25291;601558;0;0
3065.347;98.999;0;25292;601561;0;0
3066.853;98.999;0;25293;601563;0;0
3068.274;98.291;0;25294;601565;0;0
3070.907;97.167;0;25295;601568;0;0
3073.122;93.553;0;25296;601570;0;0
3073.928;92.259;0;25297;601572;0;0
3075.029;90.769;0;25298;601575;0;0
3075.528;89.451;0;25299;601577;0;0
3074.729;86.618;0;25300;601580;0;0
3075.325;81.465;0;25301;601583;0;0
3075.023;75.849;0;25302;601585;0;0
3074.307;69.573;0;25303;601588;0;0
3074.999;61.368;0;25304;601591;0;0
3073.626;51.966;0;25305;601593;0;0
3072.391;45.128;0;25306;601596;0;0
3070.703;41.245;0;25307;601599;0;0
3069.126;39.976;0;25308;601602;0;0
3065.847;39.707;0;25309;601605;0;0
3065.484;40;0;25310;601608;0;0
3066.438;41.343;0;25311;601611;0;0
3069.067;41.587;0;25312;601614;0;0
3071.449;43.297;0;25313;601617;0;0
3073.645;41.245;0;25314;601620;0;0
3076.483;40.366;0;25315;601623;0;0
3078.073;39.56;0;25316;601626;0;0
3078.853;39.414;0;25317;601629;0;0
3077.518;38.657;0;25318;601632;0;0
3074.229;38.315;0;25319;601636;0;0
3072.411;38.559;0;25320;601639;0;0
